Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Balanced_Accuracy,Brier_Score,TN,FP,FN,TP,Model,Decision_Threshold
0.6797,0.5521,0.8051,0.655,0.777,0.6958,0.7043,0.2368,510,335,100,413,Logistic Regression,0.5
0.673,0.545,0.8148,0.6531,0.7432,0.6348,0.7009,0.2419,496,349,95,418,Decision Tree,0.5
0.7268,0.6123,0.7544,0.676,0.8145,0.7219,0.7322,0.1756,600,245,126,387,Random Forest,0.5
0.7533,0.7697,0.4951,0.6026,0.839,0.7594,0.7026,0.1628,769,76,259,254,XGBoost,0.5
0.7283,0.5984,0.8538,0.7036,0.8497,0.7708,0.7529,0.1558,551,294,75,438,AeroPure Hybrid Hazard Model,0.3
